"Tarih","Saat","Tüketim Miktarý (MWh)"
"19.01.2021","13:00","46.317,76"
"19.01.2021","14:00","46.371,38"
"19.01.2021","15:00","45.365,79"
"19.01.2021","16:00","44.655,33"
"19.01.2021","17:00","44.230,57"
"19.01.2021","18:00","44.024,64"
"19.01.2021","19:00","42.705,59"
"19.01.2021","20:00","41.294,23"
"19.01.2021","21:00","40.223,35"
"19.01.2021","22:00","39.486,16"
"19.01.2021","23:00","38.074,38"
"20.01.2021","00:00","35.831,32"
"20.01.2021","01:00","33.699,39"
"20.01.2021","02:00","32.315,57"
"20.01.2021","03:00","31.589,45"
"20.01.2021","04:00","31.357,38"
"20.01.2021","05:00","31.514,27"
"20.01.2021","06:00","32.424,50"
"20.01.2021","07:00","34.463,59"
"20.01.2021","08:00","39.391,41"
"20.01.2021","09:00","43.982,62"
"20.01.2021","10:00","46.003,18"
"20.01.2021","11:00","46.951,75"
"20.01.2021","12:00","46.093,02"
"20.01.2021","13:00","46.184,85"
"20.01.2021","14:00","46.142,62"
"20.01.2021","15:00","45.390,86"
"20.01.2021","16:00","44.884,90"
"20.01.2021","17:00","44.600,42"
"20.01.2021","18:00","44.340,26"
"20.01.2021","19:00","42.925,69"
"20.01.2021","20:00","41.264,00"
"20.01.2021","21:00","40.268,33"
"20.01.2021","22:00","39.470,21"
"20.01.2021","23:00","37.970,03"
"21.01.2021","00:00","35.674,68"
"21.01.2021","01:00","33.772,99"
"21.01.2021","02:00","32.337,74"
"21.01.2021","03:00","31.556,74"
"21.01.2021","04:00","31.374,19"
"21.01.2021","05:00","31.605,09"
"21.01.2021","06:00","32.365,12"
"21.01.2021","07:00","34.530,22"
"21.01.2021","08:00","39.618,49"
"21.01.2021","09:00","43.930,40"
"21.01.2021","10:00","45.730,80"
"21.01.2021","11:00","46.683,23"
"21.01.2021","12:00","45.459,34"
"21.01.2021","13:00","45.404,69"
"21.01.2021","14:00","45.476,14"
"21.01.2021","15:00","44.786,81"
"21.01.2021","16:00","44.450,78"
"21.01.2021","17:00","44.270,88"
"21.01.2021","18:00","44.025,76"
"21.01.2021","19:00","42.945,09"
"21.01.2021","20:00","41.209,41"
"21.01.2021","21:00","40.264,60"
"21.01.2021","22:00","39.502,17"
"21.01.2021","23:00","37.825,78"
"22.01.2021","00:00","35.589,33"
"22.01.2021","01:00","33.555,82"
"22.01.2021","02:00","32.317,59"
"22.01.2021","03:00","31.555,27"
"22.01.2021","04:00","31.220,51"
"22.01.2021","05:00","31.649,47"
"22.01.2021","06:00","32.468,04"
"22.01.2021","07:00","34.472,32"
"22.01.2021","08:00","39.197,08"
"22.01.2021","09:00","42.749,10"
"22.01.2021","10:00","44.876,50"
"22.01.2021","11:00","45.507,28"
"22.01.2021","12:00","43.892,09"
"22.01.2021","13:00","42.920,30"
"22.01.2021","14:00","43.507,22"
"22.01.2021","15:00","42.986,63"
"22.01.2021","16:00","42.663,24"
"22.01.2021","17:00","42.769,90"
"22.01.2021","18:00","42.578,49"
"22.01.2021","19:00","41.339,57"
"22.01.2021","20:00","39.980,85"
"22.01.2021","21:00","39.203,66"
"22.01.2021","22:00","38.462,79"
"22.01.2021","23:00","37.212,37"
